max_voltage_step,framework_formula,formula_charge,max_delta_volume,average_voltage,capacity_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,id_charge,id_discharge
0,NbF6,LiNbF6,0.282782829486238,0.735234084666667,235.389994541712,0.125,0.3,0,0.36665833506666,mp-1078799,mp-1110578
0,ZnSb,LiZnSb,0.196585544592281,0.068304041180562,133.306878082496,0.333333333333333,0.5,0.004926168333334,0.19346892625,mp-1100430,mp-1222606
0,VF6,LiVF6,0.052219369535501,2.22557444166667,288.568197932966,0.125,0.3,0,0.294562624499978,mp-2710677,mp-1111067
0,CuO,CuO,0.092670820263636,3.58867375666666,109.136683476169,0,0.142857142857142,0.335388066666666,0.051302997499999,mp-1120722,mp-1147702
0,Fe3O4,LiFe3O4,0.114330302565124,-0.834171123333324,109.208992233404,0.125,0.222222222222222,0.0393243021875,0.280516826111112,mp-1176726,mp-1222957
0,MnO2,Li3Mn28O56,0.008207681935991,3.66487795666662,10.8860797688668,0.034482758620689,0.045454545454545,0.050299298096742,0.043286694397734,mp-1177832,mp-1176738
0,CeSn,LiCeSn,0.065316098852112,-0.059806713333333,98.2790425853436,0.333333333333333,0.5,0.168594930416666,0.047086038596591,mp-11830,mp-1185039
0,CrO3,CrO3,0.010061862850069,3.23536060666667,250.632682990218,0,0.2,0.40224307075,0.409366555166663,mp-1429856,mp-1185311
0,FeO2,FeO2,0.047893792648366,2.63029563666667,37.7649794620083,0,0.04,0.186183398333333,0.201083565519995,mp-1205429,mp-1235270
0,VO2,VO2,0.022063351947752,2.30552319666666,39.9745625866586,0,0.04,0.179299856249985,0.161201142299992,mp-1446045,mp-1235320
0,TiO2,TiO2,0.407571985790945,1.04694101666667,308.748636574138,0,0.25,0.1582194675,0.085798818749999,mp-1426806,mp-1235941
0,SbAu,LiSbAu,0.047842183138868,1.42841338772728,80.5796471989388,0.333333333333333,0.5,0.104817015277777,0,mp-12564,mp-30404
0,CdSb,LiCdSb,0.170332422388017,0.469753376666667,108.047397714859,0.333333333333333,0.5,0.112455940909091,0.047925216590909,mp-1100425,mp-16271
0.513902233333333,MnF6,Li2MnF6,0.14084612677222,3.67897994333333,272.521687644441,0.222222222222222,0.363636363636363,0.033623882592592,0.035649193257574,mp-17754,mp-831158
0,CuO,CuO,0.130793394285908,18.0621254841667,161.423782343888,0,0.2,0.15278473625,0,mp-510752,mp-18162
0,AgF3,AgF3,0.16365859592877,5.51550783916667,155.999960698121,0,0.2,0,0.056291898999999,mp-18536,mp-760151
0,NbF5,NbF5,0.184351583263968,2.65728621966668,137.556786233129,0,0.142857142857142,0,0.088132340761905,mp-18687,mp-761164
0,FeO2,FeO2,0.077727118065087,3.45480723666667,282.761383105349,0,0.25,0.167153275833333,0.020221913124999,mp-25332,mp-18782
0.096468020000003,TiTe2,TiTe2,0.121354653921463,1.48212808666667,86.454159716407,0,0.25,0,0,mp-1907,mp-10189
0,NiO2,LiNiO2,0.077110788854318,2.78153225666667,256.291524538212,0.25,0.4,0.273997970833334,0.093135045000002,mp-25316,mp-19183
0.483614159999987,V6O13,V6O13,0.06827861343896,2.10985533666667,150.439343619445,0,0.136363636363636,0.043009163421054,0.098109120056815,mp-870306,mp-542665
0,TiS2,TiS2,0.068480708539181,39.3331551766666,78.1539230674416,0,0.1,0.002321645555555,0.030468397500001,mp-1101258,mp-19755
0,InSb,InSb,12.8953672851383,-1.93903573366667,214.018055939982,0,0.5,0,1.39160348416667,mp-20012,mp-1097086
0,Mo3Se4,Mo3Se4,0.096315771480024,2.0473690595238,76.1644655638913,0,0.2,0.060871434999999,0,mp-21021,mp-673706
0,MnAs,LiMnAs,0.155270582735559,-1.17609630666666,29.1654804103834,0.333333333333333,0.365079365079365,0.131856516340997,0.195439654246487,mp-21284,mp-531949
0.43778553333334,TiS2,TiS2,0.033746367956197,2.05126390333333,225.339934632867,0,0.25,0,0,mp-2156,mp-9615
0.145086889999977,Mo3S4,Mo3S4,0.08122610908375,2.15572154416666,124.669069105474,0,0.222222222222222,0.064811582142855,0,mp-2164,mp-675779
0,Fe5O8,Fe5O8,0.025263658332268,4.27623345666667,64.7126798583834,0,0.071428571428571,0.16345176730769,0.063062470000001,mp-510746,mp-21735
0,TiSe2,TiSe2,0.080848506590825,1.81911540666666,125.989437898931,0,0.25,0,0,mp-2194,mp-1206595
0,NbSe2,NbSe2,0.029454223101602,1.99610971666667,103.975457039459,0,0.25,0,0,mp-2207,mp-1025496
0.240204120000002,VO2,VO2,0.027620072541691,2.42866699916666,298.187511143741,0,0.25,0.180323049999984,0.010559560625,mp-714944,mp-1276026
0.756151819999977,NiO2,NiO2,0.059636157309253,3.50489737166667,187.450079454606,0,0.181818181818181,0.129827186111111,0.034777224734848,mp-25210,mp-762391
0,FeO2,FeO2,1.24201620446129E-05,3.83614713,216.025879319383,0,0.2,0.273916410833334,0.060224506933332,mp-25236,mp-756480
0,CuO2,LiCuO2,0.01728778927906,20.3445266266667,126.474221661968,0.25,0.333333333333333,0.024710698749999,0.001076628611118,mp-773044,mp-545467
0.890694676666659,Mo3O8,Mo3O8,0.068228759604497,2.72354175916667,241.683840408783,0,0.266666666666666,0.28322315564935,0.049915935666663,mp-715479,mp-566257
0,V2O5,V2O5,0.003824572600543,2.63492026916666,141.941209639626,0,0.125,0.008959156071428,0.079255694375,mp-25280,mp-627993
1.75426819000001,VO2,VO2,0.068343315210637,1.91363747466667,365.674667204832,0,0.294117647058823,0.203578088333317,0.053815585000002,mp-714960,mp-771611
0.312263590000007,CrO2,CrO2,0.063528921598051,3.64842126333333,225.347134342888,0,0.2,0.184560601666634,0.033695914148156,mp-714929,mp-768634
0,MoO2,MoO2,0.060680300561881,1.89824175484848,182.932027753377,0,0.234042553191489,0.209947598333332,0.052463413218081,mp-714883,mp-1223041
0,CuO2,CuO2,0.046854138534499,3.46325813666666,261.51409410244,0,0.25,0.180120351874999,0.067987817499999,mp-25378,mp-25372
