compoundID,formula_charge,capacity_grav,LCD,PLD,LCD_along_PLD,max_delta_volume,average_voltage,fracA_charge,fracA_discharge,stability_charge,stability_discharge
mp-756184,MnCoO4,213.523205439537,1.1885,0.98453,1.1885,0.022235260214749,2.53601630333333,0,0.2,0.030922356527778,0.16919542161906
mp-773140,Co3NiO8,209.217026655344,0.95842,0.17333,0.72262,0.126407556074777,3.074670065,0,0.2,0.082564085416668,0.123957984249998
mp-756257,LiV4CuO12,111.643113126813,1.74552,0.487,1.63565,0.032681818492332,3.26181382666668,0.055555555555555,0.15,0.043648920034724,0.043731216999993
mp-756291,LiV2(SiO4)2,89.3587634276257,1.36276,0,1.36276,0.009264114113513,3.42422128166667,0.076923076923076,0.142857142857142,0.16020876528846,0.048914379017853
mp-757157,Mn(CoO2)4,182.949832333337,1.20022,0.46527,1.20022,0.106793836133961,2.82297243666667,0,0.1875,0.070317376804036,0.05869084890625
mp-756311,LiFeSnO4,106.171979377486,0.55046,0.18443,0.5502,0.011347172133027,1.57830480166667,0.142857142857142,0.25,0.001434741964287,0.0202628256249999
mp-756920,Li2MgNi3O8,150.509069609764,1.38675,0.52787,1.38674,0.021034631002684,3.34313138166667,0.142857142857142,0.25,0.064578111823595,0.012679001527779
mp-756329,MnPO4,170.872882372335,1.53977,1.00051,1.5362,0.21528727809807,3.36297929,0,0.142857142857142,0.089466185,0.066818026309518
mp-757060,Mn4NiO8,188.184552961853,1.40605,0.595,1.40605,0.033450700851406,2.75078484666667,0,0.1875,0.096715278541662,0.022362403125
mp-762624,Li2Mn(NiO3)2,92.692424659408,1.41289,0.4331,1.41289,0.008461981582735,3.19248668166666,0.181818181818181,0.25,0.040882076761364,0.024979301944443
mp-771350,Li3FeCu3O8,66.6302072367442,1.39123,0,1.09993,0.004561938990056,3.76714206666666,0.2,0.25,0.110478221258335,0.057054186718749
mp-756793,Li2Nb4ZnO12,41.2425451223351,1.50202,0.35955,1.502,0.002842296483967,1.30029881666665,0.105263157894736,0.15,0.023999023815839,0.0382673805625
mp-757061,Mn4FeO8,189.447525290181,1.53479,0.72971,1.53479,0.053199529281865,2.45389868,0,0.1875,0.096449196113788,0.050504228593749
mp-756390,Li3MnCu3O8,66.7807811032492,1.45533,0,1.45533,0.006648969960914,2.85146622666667,0.2,0.25,0.078568307083332,0.079862679375
mp-756398,Mn3VO8,288.564316903942,1.41507,0.45826,1.41507,0.072697021168241,2.44874926416667,0,0.25,0.123476459826374,0.149825010937499
mp-772131,Li3Fe3SbO8,60.2207127701837,1.57687,0,1.57687,0.002839125818661,2.14086926666668,0.2,0.25,0.043171925833333,0.0150127204687499
mp-769734,ScFeO3,44.5105701935414,0.29049,0,0.29039,0.057283486923813,0.207558996666686,0,0.047619047619047,0.083946180374997,0.152424288809523
mp-756635,Co3BiO8,101.586719208093,1.57757,1.03416,1.57757,0.014538857382409,3.95790344666666,0,0.142857142857142,0.086413707777778,0.003028473803572
mp-758894,Li2Ti(TeO4)3,82.4123629712317,1.40773,0.62027,1.40772,0.056860893858752,3.01020206416666,0.111111111111111,0.2,0.009614493888892,0.029881727374998
mp-756435,Sr3Nb4O13,62.5939789539935,1.4406,0.91798,1.4406,0.022651617113742,1.89457345166667,0,0.09090909090909,0.098607573499998,0.016636630795439
mp-756455,Ti3VO8,159.333601125998,1.11194,0.4749,1.02624,0.088214705719453,2.25270155666667,0,0.142857142857142,0.12975008729164,0.037150200535711
mp-769975,Li2Cr3FeO8,145.821697370669,1.41243,0.63607,1.41242,0.03310952410308,3.26563062916666,0.142857142857142,0.25,0.10032545031746,0.0195271971875
mp-756471,FeCo5O12,187.992254307997,1.16922,0.94889,1.16922,0.005294060432553,3.31028317416666,0,0.181818181818181,0.068736536250001,0.073710526278405
mp-756482,Mn3CoO8,146.606581048399,1.34909,0.66365,1.34909,0.050173442754544,3.90794498666667,0,0.142857142857142,0.089739264374999,0
mp-756512,Li3Cr3CoO8,72.3034177578735,1.41235,0,1.41235,0.001508649689457,3.30378695166666,0.2,0.25,0.053802393222214,0.012257426875
mp-756513,Mn3CuO8,144.780002510357,1.361,0.74859,1.35861,0.036306176591273,3.77329428166667,0,0.142857142857142,0.090836474010416,0.020414333904759
mp-758389,LiNb(TeO4)3,115.612796979549,1.43546,0.65404,1.43546,0.069696609834342,2.64891513333333,0.058823529411764,0.2,0.012977165304625,0.083907908187502
mp-756525,Mn3CuO8,279.095361293009,1.37442,0.66368,1.37392,0.048605578600231,2.83882023916667,0,0.25,0.079438845677082,0.092166934062514
mp-1177706,Li3Fe3WO8,52.8488931437949,1.6332,0,1.6332,0.009969904291175,2.18071598666666,0.2,0.25,0.074035164666665,0.0479592425
mp-756534,Li4Mn5Ni3O16,71.6227598415177,0.45134,0.10214,0.45134,0.015379638069027,2.72336730666667,0.142857142857142,0.2,0.059600283035712,0.08031417683333
mp-756542,MnVO4,151.57653161311,1.27564,0.56021,1.27563,0.057176871497692,3.22132822166667,0,0.142857142857142,0.082855709097223,0.023731770714279
mp-771822,V5(BO5)2,60.4638565582488,1.41831,0.50327,1.41367,0.002392543287314,1.48673600166667,0,0.055555555555555,0.033956226825981,0.021503986177666
mp-756552,Mg(NiO2)4,197.119573961089,1.44557,0.82797,1.44557,0.026254223717851,3.16808452,0,0.1875,0.036787709786324,0.01156981125
mp-772822,Li3Cu3TeO8,56.5435431799257,1.6089,0,1.6089,0.000141782855871,2.23117732666668,0.2,0.25,0.075187855125,0.1169731725
mp-756555,Cr3Co5O16,145.975841831465,0.97292,0.26747,0.82084,0.11874305862847,3.39305581916667,0,0.142857142857142,0.091417700833338,0.097662704077379
mp-768828,Li3Cr3CuO8,71.4147224648545,1.385,0,1.385,0.013627165483628,2.80747238666665,0.2,0.25,0.053885044296299,0.037259143125
mp-756562,Mn3FeO8,147.855420590402,1.3996,0.77904,1.3996,0.038971202560785,3.73179991666667,0,0.142857142857142,0.106138289583333,0.024503895297603
mp-756573,Cu(TeO3)4,102.1966793966,1.29835,0.29705,1.29834,0.108208165477427,2.99346450333333,0,0.15,0.093775142647053,0.101818203437496
mp-1275718,Co3TeO8,232.975938037249,1.55783,0.73704,1.49192,0.017901061816873,2.94120820541667,0,0.25,0.056907352708337,0.05009065843749
mp-756589,TiMn3O8,151.182349981218,1.36727,0.74778,1.36727,0.062770937691433,3.18936758166667,0,0.142857142857142,0.108107662916667,0.054284636428577
mp-756594,Co(NiO2)4,181.694693733835,1.37684,0.74403,1.37684,0.021135091075629,3.23516441666666,0,0.1875,0.038864772051279,0.019836509583333
mp-757467,Mn5SnO12,174.842528439523,1.42295,1.22722,1.41238,0.02018544598565,2.70280315666667,0,0.181818181818181,0.083767008379632,0.089170814545445
mp-1306670,Li3TiNi3O8,70.5847495469233,1.35708,0,1.35708,0.01123162669925,3.19717064166667,0.2,0.25,0.036163635916663,0.021042426354162
mp-772541,Mn3TeO8,182.226997112738,1.46401,0.51797,1.29229,0.079791144262307,2.71831574833333,0,0.2,0.078927654930551,0.050630754749997
mp-1176616,Mn3FeO8,284.805267473104,1.37189,0.38736,1.37189,0.057956467710403,2.78204296916667,0,0.25,0.092797182916666,0.068872937031249
mp-759292,Li2Fe3(BO3)3,73.4718726434484,1.20327,0,1.20327,0.030094472717398,7.48260625166666,0.117647058823529,0.166666666666666,0.342772768676478,0.005646302222221
mp-756679,Mn9CdO10,34.6367055543613,0.20974,0,0.20974,0.064316541741195,-1.97555643333333,0,0.047619047619047,0.081875751,0.238920263571431
mp-756854,Sr2LiNb3O10,42.6887242172585,1.53632,0.97096,1.53631,0.005432232723932,1.75967399666667,0.0625,0.117647058823529,0.042790213906258,0.006927576397059
mp-782631,Li2Cr(FeO3)2,95.5470789177534,1.43595,0,1.43595,0.010586361045969,3.57418288333333,0.181818181818181,0.25,0.098784194949494,0.004772382569442
mp-756696,Mg2Mn3O8,76.9360872998468,1.10679,0.30248,1.10679,0.020909499377989,3.21123509666666,0,0.071428571428571,0.042560363076923,0.024940516160721
